GrLivArea,SalePrice
40.42,920.7
24.76,801
28.28,742.5
29.72,737.1
28.88,715.95
29.09,726.21
25.2,610.2
30.51,651.6
26.14,558
19.74,535.5
15.99,503.1
21.7,506.7
19.51,453.6
17.62,447.3
16.9,455.85
17.96,444.6
15.44,408.15
14.79,389.7
12.88,349.02
14.84,360.9
14.4,341.1
14.38,342.9
14.87,354.42
12.45,320.4
14.4,332.37
13.29,324.45
11.43,291.6
13.28,308.25
12.19,282.6
10.41,286.29
11.58,282.6
8.49,257.67
8.04,232.56
8.72,215.1
8.73,231.66
9.32,231.75
8.86,217.8
9.7,228.15
8.59,216
8.58,213.12
8.83,214.2
8.79,214.02
8.34,210.6
8.63,209.7
8.83,204.3
7.51,188.82
7.09,181.8
7.23,178.83
6.53,175.95
7,171
5.52,157.32
5.64,162.68
5.81,168.75
7.43,170.1
5.99,154.35
5.58,150.3
5.71,149.85
4.75,140.4
7.11,154.17
5,136.71
5.65,135.45
4.79,123.84
5.14,128.7
4.18,117
4.44,118.8
4.73,122.22
4.37,121.32
4.85,115.2
5.45,124.65
4.16,113.36
5.78,123.3
4.83,112.23
3.99,106.65
4.57,112.05
3.57,102.78
3.56,103.23
4.7,108.9
4,102.51
3.81,99.63
4.03,96.66
3.83,97.2
4,99.81
3.2,87.93
4.25,98.19
3.59,96.21
3.45,93.17
3.29,89.46
3.18,86.13
3.79,88.74
3.82,89.82
3.26,88.83
3.57,86.31
3.69,83.97
3.34,81.18
2.99,78.75
3.3,82.35
3.08,79.74
3.06,76.46
3.01,77.85
2.56,72.27
